Amazonas,0,1319,1200,1774,1734,1148,1201,902,1096,1047,1672,1329,1583,1092,925,1780,810,991,1780,1015,1014,1373,953,1161,1188,2272,1307,1618,1127,1123,607,1187
Antioquia,1319,0,540,530,461,256,132,515,448,442,533,136,281,243,887,656,521,370,575,318,592,383,580,191,161,972,287,340,205,331,821,893
Arauca,1200,540,0,619,639,334,569,810,263,828,466,669,593,456,476,550,541,679,597,454,972,212,925,612,599,1345,259,567,574,754,656,376
Atlantico,1774,530,619,0,106,624,660,1043,677,971,178,621,272,708,1094,215,963,894,72,769,1118,424,1110,722,691,774,465,196,727,858,1200,963
Bolivar,1734,461,639,106,0,590,593,977,658,896,247,538,186,660,1108,311,926,830,171,726,1040,432,1036,653,622,717,449,122,663,782,1181,1000
Boyaca,1148,256,334,624,590,0,242,502,108,499,548,365,453,128,631,670,339,359,641,158,648,279,607,279,269,1203,179,475,240,420,599,655
Caldas,1201,132,569,660,593,242,0,384,345,319,649,146,413,164,851,774,421,238,701,232,472,457,453,62,35,1075,349,471,76,213,732,896
Caqueta,902,515,810,1043,977,502,384,0,547,143,1018,468,796,376,890,1143,347,151,1082,357,191,778,124,322,356,1389,672,856,317,227,606,1035
Casanare,1096,448,263,677,658,108,345,547,0,569,576,473,540,202,523,691,310,418,684,191,710,283,662,374,368,1298,213,550,329,503,524,552
Cauca,1047,442,828,971,896,499,319,143,569,0,968,364,710,373,978,1093,441,157,1016,383,153,759,141,257,285,1258,651,777,272,114,728,1095
Cesar,1672,533,466,178,247,548,649,1018,576,968,0,649,344,655,640,126,880,867,135,704,1121,297,1101,712,683,951,371,268,704,860,1085,793
Choco,1329,136,669,621,538,365,146,468,473,364,649,0,352,308,989,770,565,343,673,378,503,520,505,169,146,942,422,425,211,251,877,1016
Cordoba,1583,281,593,272,186,453,413,796,540,710,344,352,0,500,1034,448,776,651,331,571,854,383,851,471,440,764,354,80,486,597,1052,967
Cundinamarca,1092,243,456,708,660,128,164,376,202,373,655,308,500,0,689,779,280,231,735,75,520,402,479,177,178,1215,297,539,129,301,579,751
Guainia,925,887,476,1094,1108,631,851,890,523,978,640,989,1034,689,0,1015,544,824,1073,633,1080,676,1013,863,867,1797,680,1023,813,955,388,263
Guajira,1780,656,550,215,311,670,774,1143,691,1093,126,770,448,779,1015,0,998,992,144,826,1245,408,1226,837,808,964,491,369,830,985,1189,842
Guaviare,810,521,541,963,926,339,421,347,310,441,880,565,776,280,544,998,0,296,979,206,537,592,470,401,419,1492,509,808,354,441,314,699
Huila,991,370,679,894,830,359,238,151,418,157,867,343,651,231,824,992,296,0,931,228,293,632,248,183,213,1281,524,708,167,148,600,937
Magdalena,1780,575,597,72,171,641,701,1082,684,1016,135,673,331,735,1073,144,979,931,0,792,1166,416,1154,763,733,831,473,252,765,905,1202,927
Meta,1015,318,454,769,726,158,232,357,191,383,704,378,571,75,633,826,206,228,792,0,520,435,471,232,240,1290,336,606,181,331,504,717
Narino,1014,592,972,1118,1040,648,472,191,710,153,1121,503,854,520,1080,1245,537,293,1166,520,0,912,73,410,438,1351,803,924,425,261,790,1219
Norte de Santander,1373,383,212,424,432,279,457,778,283,759,297,520,383,402,676,408,592,632,416,435,912,0,878,512,491,1132,109,354,488,665,788,586
Putumayo,953,580,925,1110,1036,607,453,124,662,141,1101,505,851,479,1013,1226,470,248,1154,471,73,878,0,391,421,1385,770,917,397,255,718,1159
Quindio,1161,191,612,722,653,279,62,322,374,257,712,169,471,177,863,837,401,183,763,232,410,512,391,0,31,1110,404,531,51,154,715,926
Risaralda,1188,161,599,691,622,269,35,356,368,285,683,146,440,178,867,808,419,213,733,240,438,491,421,31,0,1085,383,501,65,179,732,920
San Andres y Providencia,2272,972,1345,774,717,1203,1075,1389,1298,1258,951,942,764,1215,1797,964,1492,1281,831,1290,1351,1132,1385,1110,1085,0,1118,501,65,179,732,920
Santander,1307,287,259,465,449,179,349,672,213,651,371,422,354,297,680,491,509,524,473,336,803,109,770,404,383,1118,0,349,379,557,736,631
Sucre,1618,340,567,196,122,475,471,856,550,777,268,425,80,539,1023,369,808,708,252,606,924,354,917,531,501,501,349,0,541,664,1071,938
Tolima,1127,205,574,727,663,240,76,317,329,272,704,211,486,129,813,830,354,167,765,181,425,488,397,51,65,65,379,541,0,181,667,879
Valle del Cauca,1123,331,754,858,782,420,213,227,503,114,860,251,597,301,955,985,441,148,905,331,261,665,255,154,179,179,557,664,181,0,748,1047
Vaupes,607,821,656,1200,1181,599,732,606,524,728,1085,877,1052,579,388,1189,314,600,1202,504,790,788,718,715,732,732,736,1071,667,748,0,630
Vichada,1187,893,376,963,1000,655,896,1035,552,1095,793,1016,967,751,263,842,699,937,927,717,1219,586,1159,926,920,920,631,938,879,1047,630,0
