Amazonas,68.20,55.76
Antioquia,81.33,83.38
Arauca,58.82,54.41
Atlantico,74.15,70.40
Bolivar,74.83,82.50
Boyaca,78.97,72.55
Caldas,90.75,92.57
Caqueta,66.70,65.57
Casanare,75.85,74.63
Cauca,72.34,61.15
Cesar,74.24,72.16
Choco,47.49,51.23
Cordoba,68.02,65.12
Cundinamarca,91.75,95.39
Guainia,57.83,59.99
Guajira,49.12,61.40
Guaviare,71.26,69.77
Huila,71.26,73.57
Magdalena,70.96,68.21
Meta,82.48,83.30
Nariño,54.28,70.14
Norte de Santander,69.28,74.63
Putumayo,46.33,42.13
Quindio,79.06,79.98
Risaralda,76.30,75.47
San Andres y Providencia,69.15,68.72
Santander,69.89,70.75
Sucre,67.95,60.92
Tolima,79.25,84.46
Valle del Cauca,83.47,71.61
Vaupes,57.44,53.43
Vichada,61.29,47.17
